team_long_name,season,stage,goals_scored,goals_conceded,goal_difference
1. FC Kaiserslautern,2010/2011,1,3,1,2
1. FC Kaiserslautern,2010/2011,2,2,0,2
1. FC Kaiserslautern,2010/2011,3,1,2,-1
1. FC Kaiserslautern,2010/2011,4,2,2,0
1. FC Kaiserslautern,2010/2011,5,0,5,-5
1. FC Kaiserslautern,2010/2011,6,0,1,-1
1. FC Kaiserslautern,2010/2011,7,1,2,-1
1. FC Kaiserslautern,2010/2011,8,0,3,-3
1. FC Kaiserslautern,2010/2011,9,1,2,-1
1. FC Kaiserslautern,2010/2011,10,3,0,3
1. FC Kaiserslautern,2010/2011,11,1,3,-2
1. FC Kaiserslautern,2010/2011,12,3,3,0
1. FC Kaiserslautern,2010/2011,13,3,1,2
1. FC Kaiserslautern,2010/2011,14,5,0,5
1. FC Kaiserslautern,2010/2011,15,0,1,-1
1. FC Kaiserslautern,2010/2011,16,0,0,0
1. FC Kaiserslautern,2010/2011,17,2,1,1
1. FC Kaiserslautern,2010/2011,18,1,1,0
1. FC Kaiserslautern,2010/2011,19,1,5,-4
1. FC Kaiserslautern,2010/2011,20,0,1,-1
1. FC Kaiserslautern,2010/2011,21,2,3,-1
1. FC Kaiserslautern,2010/2011,22,1,1,0
1. FC Kaiserslautern,2010/2011,23,0,3,-3
1. FC Kaiserslautern,2010/2011,24,1,1,0
1. FC Kaiserslautern,2010/2011,25,0,0,0
1. FC Kaiserslautern,2010/2011,26,2,1,1
1. FC Kaiserslautern,2010/2011,27,1,0,1
1. FC Kaiserslautern,2010/2011,28,0,1,-1
1. FC Kaiserslautern,2010/2011,29,4,2,2
1. FC Kaiserslautern,2010/2011,30,0,2,-2
1. FC Kaiserslautern,2010/2011,31,1,0,1
1. FC Kaiserslautern,2010/2011,32,2,0,2
1. FC Kaiserslautern,2010/2011,33,2,1,1
1. FC Kaiserslautern,2010/2011,34,3,2,1
1. FC Kaiserslautern,2011/2012,1,0,2,-2
1. FC Kaiserslautern,2011/2012,2,1,1,0
1. FC Kaiserslautern,2011/2012,3,1,1,0
1. FC Kaiserslautern,2011/2012,4,0,3,-3
1. FC Kaiserslautern,2011/2012,5,0,1,-1
1. FC Kaiserslautern,2011/2012,6,3,1,2
1. FC Kaiserslautern,2011/2012,7,0,1,-1
1. FC Kaiserslautern,2011/2012,8,0,2,-2
1. FC Kaiserslautern,2011/2012,9,2,1,1
1. FC Kaiserslautern,2011/2012,10,1,0,1
1. FC Kaiserslautern,2011/2012,11,1,1,0
1. FC Kaiserslautern,2011/2012,12,1,1,0
1. FC Kaiserslautern,2011/2012,13,0,2,-2
1. FC Kaiserslautern,2011/2012,14,0,1,-1
1. FC Kaiserslautern,2011/2012,15,1,1,0
1. FC Kaiserslautern,2011/2012,16,1,1,0
1. FC Kaiserslautern,2011/2012,17,1,1,0
1. FC Kaiserslautern,2011/2012,18,0,0,0
1. FC Kaiserslautern,2011/2012,19,2,2,0
1. FC Kaiserslautern,2011/2012,20,0,1,-1
1. FC Kaiserslautern,2011/2012,21,0,2,-2
1. FC Kaiserslautern,2011/2012,22,1,2,-1
1. FC Kaiserslautern,2011/2012,23,0,4,-4
1. FC Kaiserslautern,2011/2012,24,0,0,0
1. FC Kaiserslautern,2011/2012,25,0,0,0
1. FC Kaiserslautern,2011/2012,26,1,4,-3
1. FC Kaiserslautern,2011/2012,27,0,2,-2
1. FC Kaiserslautern,2011/2012,28,0,1,-1
1. FC Kaiserslautern,2011/2012,29,1,2,-1
1. FC Kaiserslautern,2011/2012,30,1,3,-2
1. FC Kaiserslautern,2011/2012,31,0,2,-2
1. FC Kaiserslautern,2011/2012,32,2,1,1
1. FC Kaiserslautern,2011/2012,33,2,5,-3
1. FC Kaiserslautern,2011/2012,34,1,2,-1
1. FC Köln,2008/2009,1,1,2,-1
1. FC Köln,2008/2009,2,1,1,0
1. FC Köln,2008/2009,3,2,0,2
1. FC Köln,2008/2009,4,0,3,-3
1. FC Köln,2008/2009,5,0,2,-2
1. FC Köln,2008/2009,6,1,0,1
1. FC Köln,2008/2009,7,2,1,1
1. FC Köln,2008/2009,8,1,0,1
1. FC Köln,2008/2009,9,0,2,-2
1. FC Köln,2008/2009,10,0,1,-1
1. FC Köln,2008/2009,11,3,1,2
1. FC Köln,2008/2009,12,2,1,1
1. FC Köln,2008/2009,13,1,3,-2
1. FC Köln,2008/2009,14,1,3,-2
1. FC Köln,2008/2009,15,1,2,-1
1. FC Köln,2008/2009,16,1,2,-1
1. FC Köln,2008/2009,17,2,1,1
1. FC Köln,2008/2009,18,1,1,0
1. FC Köln,2008/2009,19,2,2,0
1. FC Köln,2008/2009,20,0,0,0
1. FC Köln,2008/2009,21,2,1,1
1. FC Köln,2008/2009,22,1,1,0
1. FC Köln,2008/2009,23,0,1,-1
1. FC Köln,2008/2009,24,2,4,-2
1. FC Köln,2008/2009,25,2,0,2
1. FC Köln,2008/2009,26,0,2,-2
1. FC Köln,2008/2009,27,1,3,-2
1. FC Köln,2008/2009,28,0,3,-3
1. FC Köln,2008/2009,29,1,2,-1
1. FC Köln,2008/2009,30,1,0,1
1. FC Köln,2008/2009,31,0,2,-2
1. FC Köln,2008/2009,32,1,2,-1
1. FC Köln,2008/2009,33,1,0,1
1. FC Köln,2008/2009,34,1,1,0
1. FC Köln,2009/2010,1,0,1,-1
1. FC Köln,2009/2010,2,1,3,-2
1. FC Köln,2009/2010,3,0,0,0
1. FC Köln,2009/2010,4,1,3,-2
1. FC Köln,2009/2010,5,1,2,-1
1. FC Köln,2009/2010,6,2,0,2
1. FC Köln,2009/2010,7,0,1,-1
1. FC Köln,2009/2010,8,0,0,0
1. FC Köln,2009/2010,9,1,0,1
1. FC Köln,2009/2010,10,0,0,0
1. FC Köln,2009/2010,11,0,1,-1
1. FC Köln,2009/2010,12,1,0,1
1. FC Köln,2009/2010,13,0,4,-4
1. FC Köln,2009/2010,14,0,0,0
1. FC Köln,2009/2010,15,0,0,0
1. FC Köln,2009/2010,16,0,0,0
1. FC Köln,2009/2010,17,3,0,3
1. FC Köln,2009/2010,18,2,3,-1
1. FC Köln,2009/2010,19,3,2,1
1. FC Köln,2009/2010,20,2,1,1
1. FC Köln,2009/2010,21,3,3,0
1. FC Köln,2009/2010,22,0,2,-2
1. FC Köln,2009/2010,23,1,5,-4
1. FC Köln,2009/2010,24,0,0,0
1. FC Köln,2009/2010,25,1,1,0
1. FC Köln,2009/2010,26,0,1,-1
1. FC Köln,2009/2010,27,1,1,0
1. FC Köln,2009/2010,28,4,1,3
1. FC Köln,2009/2010,29,0,3,-3
1. FC Köln,2009/2010,30,2,0,2
1. FC Köln,2009/2010,31,2,0,2
1. FC Köln,2009/2010,32,0,1,-1
1. FC Köln,2009/2010,33,2,2,0
1. FC Köln,2009/2010,34,0,1,-1
1. FC Köln,2010/2011,1,1,3,-2
1. FC Köln,2010/2011,2,2,4,-2
1. FC Köln,2010/2011,3,1,0,1
1. FC Köln,2010/2011,4,0,0,0
1. FC Köln,2010/2011,5,0,2,-2
1. FC Köln,2010/2011,6,1,1,0
1. FC Köln,2010/2011,7,2,3,-1
1. FC Köln,2010/2011,8,1,2,-1
1. FC Köln,2010/2011,9,1,2,-1
1. FC Köln,2010/2011,10,3,2,1
1. FC Köln,2010/2011,11,1,3,-2
1. FC Köln,2010/2011,12,0,4,-4
1. FC Köln,2010/2011,13,1,0,1
1. FC Köln,2010/2011,14,1,1,0
1. FC Köln,2010/2011,15,2,3,-1
1. FC Köln,2010/2011,16,1,0,1
1. FC Köln,2010/2011,17,0,3,-3
1. FC Köln,2010/2011,18,1,1,0
1. FC Köln,2010/2011,19,3,0,3
1. FC Köln,2010/2011,20,0,3,-3
1. FC Köln,2010/2011,21,3,2,1
1. FC Köln,2010/2011,22,4,2,2
1. FC Köln,2010/2011,23,1,1,0
1. FC Köln,2010/2011,24,1,0,1
1. FC Köln,2010/2011,25,0,1,-1
1. FC Köln,2010/2011,26,4,0,4
1. FC Köln,2010/2011,27,2,6,-4
1. FC Köln,2010/2011,28,1,0,1
1. FC Köln,2010/2011,29,1,5,-4
1. FC Köln,2010/2011,30,1,3,-2
1. FC Köln,2010/2011,31,1,4,-3
1. FC Köln,2010/2011,32,2,0,2
1. FC Köln,2010/2011,33,2,0,2
1. FC Köln,2010/2011,34,2,1,1
1. FC Köln,2011/2012,1,0,3,-3
1. FC Köln,2011/2012,2,1,5,-4
1. FC Köln,2011/2012,3,1,1,0
1. FC Köln,2011/2012,4,4,3,1
1. FC Köln,2011/2012,5,1,2,-1
1. FC Köln,2011/2012,6,4,1,3
1. FC Köln,2011/2012,7,2,0,2
1. FC Köln,2011/2012,8,0,3,-3
1. FC Köln,2011/2012,9,2,0,2
1. FC Köln,2011/2012,10,0,5,-5
1. FC Köln,2011/2012,11,3,0,3
1. FC Köln,2011/2012,12,2,3,-1
1. FC Köln,2011/2012,13,1,1,0
1. FC Köln,2011/2012,14,0,3,-3
1. FC Köln,2011/2012,15,2,2,0
1. FC Köln,2011/2012,16,4,0,4
1. FC Köln,2011/2012,17,0,3,-3
1. FC Köln,2011/2012,18,0,1,-1
1. FC Köln,2011/2012,19,1,4,-3
1. FC Köln,2011/2012,20,1,0,1
1. FC Köln,2011/2012,21,0,1,-1
1. FC Köln,2011/2012,22,1,2,-1
1. FC Köln,2011/2012,23,0,2,-2
1. FC Köln,2011/2012,24,1,1,0
1. FC Köln,2011/2012,25,1,0,1
1. FC Köln,2011/2012,26,1,4,-3
1. FC Köln,2011/2012,27,1,6,-5
1. FC Köln,2011/2012,28,1,2,-1
1. FC Köln,2011/2012,29,1,1,0
1. FC Köln,2011/2012,30,0,4,-4
1. FC Köln,2011/2012,31,0,3,-3
1. FC Köln,2011/2012,32,1,1,0
1. FC Köln,2011/2012,33,1,4,-3
1. FC Köln,2011/2012,34,1,4,-3
1. FC Köln,2014/2015,1,0,0,0
1. FC Köln,2014/2015,2,2,0,2
1. FC Köln,2014/2015,3,0,0,0
1. FC Köln,2014/2015,4,0,0,0
1. FC Köln,2014/2015,5,0,1,-1
1. FC Köln,2014/2015,6,0,2,-2
1. FC Köln,2014/2015,7,2,3,-1
1. FC Köln,2014/2015,8,2,1,1
1. FC Köln,2014/2015,9,1,0,1
1. FC Köln,2014/2015,10,0,1,-1
1. FC Köln,2014/2015,11,4,3,1
1. FC Köln,2014/2015,12,1,2,-1
1. FC Köln,2014/2015,13,1,5,-4
1. FC Köln,2014/2015,14,1,2,-1
1. FC Köln,2014/2015,15,2,1,1
1. FC Köln,2014/2015,16,0,0,0
1. FC Köln,2014/2015,17,1,2,-1
1. FC Köln,2014/2015,18,2,0,2
1. FC Köln,2014/2015,19,0,0,0
1. FC Köln,2014/2015,20,0,0,0
1. FC Köln,2014/2015,21,0,1,-1
1. FC Köln,2014/2015,22,1,1,0
1. FC Köln,2014/2015,23,1,4,-3
1. FC Köln,2014/2015,24,4,2,2
1. FC Köln,2014/2015,25,0,0,0
1. FC Köln,2014/2015,26,1,1,0
1. FC Köln,2014/2015,27,0,1,-1
1. FC Köln,2014/2015,28,3,2,1
1. FC Köln,2014/2015,29,0,0,0
1. FC Köln,2014/2015,30,1,1,0
1. FC Köln,2014/2015,31,0,0,0
1. FC Köln,2014/2015,32,2,0,2
1. FC Köln,2014/2015,33,0,2,-2
1. FC Köln,2014/2015,34,2,2,0
1. FC Köln,2015/2016,1,3,1,2
1. FC Köln,2015/2016,2,1,1,0
1. FC Köln,2015/2016,3,2,1,1
1. FC Köln,2015/2016,4,2,6,-4
1. FC Köln,2015/2016,5,1,0,1
1. FC Köln,2015/2016,6,0,2,-2
1. FC Köln,2015/2016,7,1,1,0
1. FC Köln,2015/2016,8,3,0,3
1. FC Köln,2015/2016,9,0,1,-1
1. FC Köln,2015/2016,10,0,4,-4
1. FC Köln,2015/2016,11,0,0,0
1. FC Köln,2015/2016,12,2,1,1
1. FC Köln,2015/2016,13,0,0,0
1. FC Köln,2015/2016,14,0,0,0
1. FC Köln,2015/2016,15,0,1,-1
1. FC Köln,2015/2016,16,1,1,0
1. FC Köln,2015/2016,17,2,1,1
1. FC Köln,2015/2016,18,1,3,-2
1. FC Köln,2015/2016,19,1,1,0
1. FC Köln,2015/2016,20,1,1,0
1. FC Köln,2015/2016,21,3,1,2
1. FC Köln,2015/2016,22,0,1,-1
1. FC Köln,2015/2016,23,0,1,-1
1. FC Köln,2015/2016,24,1,1,0
1. FC Köln,2015/2016,25,1,3,-2
1. FC Köln,2015/2016,26,2,0,2
1. FC Köln,2015/2016,27,0,1,-1
1. FC Köln,2015/2016,28,1,1,0
1. FC Köln,2015/2016,29,0,2,-2
1. FC Köln,2015/2016,30,3,2,1
1. FC Köln,2015/2016,31,4,1,3
1. FC Köln,2015/2016,32,0,0,0
1. FC Köln,2015/2016,33,0,0,0
1. FC Köln,2015/2016,34,2,2,0
1. FC Nürnberg,2009/2010,1,1,2,-1
1. FC Nürnberg,2009/2010,2,1,1,0
1. FC Nürnberg,2009/2010,3,0,2,-2
1. FC Nürnberg,2009/2010,4,0,0,0
1. FC Nürnberg,2009/2010,5,1,0,1
1. FC Nürnberg,2009/2010,6,1,2,-1
1. FC Nürnberg,2009/2010,7,0,1,-1
1. FC Nürnberg,2009/2010,8,0,4,-4
1. FC Nürnberg,2009/2010,9,3,0,3
1. FC Nürnberg,2009/2010,10,0,3,-3
1. FC Nürnberg,2009/2010,11,2,2,0
1. FC Nürnberg,2009/2010,12,0,1,-1
1. FC Nürnberg,2009/2010,13,3,2,1
1. FC Nürnberg,2009/2010,14,0,1,-1
1. FC Nürnberg,2009/2010,15,0,4,-4
1. FC Nürnberg,2009/2010,16,0,4,-4
1. FC Nürnberg,2009/2010,17,0,3,-3
1. FC Nürnberg,2009/2010,18,0,1,-1
1. FC Nürnberg,2009/2010,19,1,1,0
1. FC Nürnberg,2009/2010,20,3,1,2
1. FC Nürnberg,2009/2010,21,1,2,-1
1. FC Nürnberg,2009/2010,22,1,2,-1
1. FC Nürnberg,2009/2010,23,1,1,0
1. FC Nürnberg,2009/2010,24,0,0,0
1. FC Nürnberg,2009/2010,25,3,2,1
1. FC Nürnberg,2009/2010,26,2,1,1
1. FC Nürnberg,2009/2010,27,0,0,0
1. FC Nürnberg,2009/2010,28,2,4,-2
1. FC Nürnberg,2009/2010,29,2,0,2
1. FC Nürnberg,2009/2010,30,0,2,-2
1. FC Nürnberg,2009/2010,31,1,2,-1
1. FC Nürnberg,2009/2010,32,2,3,-1
1. FC Nürnberg,2009/2010,33,0,4,-4
1. FC Nürnberg,2009/2010,34,1,0,1
1. FC Nürnberg,2010/2011,1,1,1,0
1. FC Nürnberg,2010/2011,2,1,2,-1
1. FC Nürnberg,2010/2011,3,1,1,0
1. FC Nürnberg,2010/2011,4,0,0,0
1. FC Nürnberg,2010/2011,5,2,1,1
1. FC Nürnberg,2010/2011,6,0,2,-2
1. FC Nürnberg,2010/2011,7,2,1,1
1. FC Nürnberg,2010/2011,8,2,3,-1
1. FC Nürnberg,2010/2011,9,2,1,1
1. FC Nürnberg,2010/2011,10,3,2,1
1. FC Nürnberg,2010/2011,11,3,1,2
1. FC Nürnberg,2010/2011,12,0,3,-3
1. FC Nürnberg,2010/2011,13,1,3,-2
1. FC Nürnberg,2010/2011,14,0,3,-3
1. FC Nürnberg,2010/2011,15,0,2,-2
1. FC Nürnberg,2010/2011,16,1,1,0
1. FC Nürnberg,2010/2011,17,3,1,2
1. FC Nürnberg,2010/2011,18,0,1,-1
1. FC Nürnberg,2010/2011,19,1,1,0
1. FC Nürnberg,2010/2011,20,2,0,2
1. FC Nürnberg,2010/2011,21,1,0,1
1. FC Nürnberg,2010/2011,22,4,1,3
1. FC Nürnberg,2010/2011,23,3,0,3
1. FC Nürnberg,2010/2011,24,1,1,0
1. FC Nürnberg,2010/2011,25,5,0,5
1. FC Nürnberg,2010/2011,26,2,1,1
1. FC Nürnberg,2010/2011,27,1,3,-2
1. FC Nürnberg,2010/2011,28,0,1,-1
1. FC Nürnberg,2010/2011,29,1,1,0
1. FC Nürnberg,2010/2011,30,2,0,2
1. FC Nürnberg,2010/2011,31,0,0,0
1. FC Nürnberg,2010/2011,32,0,2,-2
1. FC Nürnberg,2010/2011,33,1,2,-1
1. FC Nürnberg,2010/2011,34,1,3,-2
1. FC Nürnberg,2011/2012,1,1,0,1
1. FC Nürnberg,2011/2012,2,1,2,-1
1. FC Nürnberg,2011/2012,3,0,2,-2
1. FC Nürnberg,2011/2012,4,1,0,1
1. FC Nürnberg,2011/2012,5,2,1,1
1. FC Nürnberg,2011/2012,6,1,1,0
1. FC Nürnberg,2011/2012,7,0,1,-1
1. FC Nürnberg,2011/2012,8,3,3,0
1. FC Nürnberg,2011/2012,9,1,2,-1
1. FC Nürnberg,2011/2012,10,2,2,0
1. FC Nürnberg,2011/2012,11,0,4,-4
1. FC Nürnberg,2011/2012,12,1,2,-1
1. FC Nürnberg,2011/2012,13,0,4,-4
1. FC Nürnberg,2011/2012,14,1,0,1
1. FC Nürnberg,2011/2012,15,0,2,-2
1. FC Nürnberg,2011/2012,16,0,2,-2
1. FC Nürnberg,2011/2012,17,3,0,3
1. FC Nürnberg,2011/2012,18,2,0,2
1. FC Nürnberg,2011/2012,19,0,1,-1
1. FC Nürnberg,2011/2012,20,0,2,-2
1. FC Nürnberg,2011/2012,21,0,0,0
1. FC Nürnberg,2011/2012,22,2,1,1
1. FC Nürnberg,2011/2012,23,1,0,1
1. FC Nürnberg,2011/2012,24,1,0,1
1. FC Nürnberg,2011/2012,25,1,2,-1
1. FC Nürnberg,2011/2012,26,1,3,-2
1. FC Nürnberg,2011/2012,27,0,1,-1
1. FC Nürnberg,2011/2012,28,0,1,-1
1. FC Nürnberg,2011/2012,29,2,2,0
1. FC Nürnberg,2011/2012,30,4,1,3
1. FC Nürnberg,2011/2012,31,2,0,2
1. FC Nürnberg,2011/2012,32,1,1,0
1. FC Nürnberg,2011/2012,33,3,2,1
1. FC Nürnberg,2011/2012,34,1,4,-3
1. FC Nürnberg,2012/2013,1,1,0,1
1. FC Nürnberg,2012/2013,2,1,1,0
1. FC Nürnberg,2012/2013,3,3,2,1
1. FC Nürnberg,2012/2013,4,1,2,-1
1. FC Nürnberg,2012/2013,5,1,4,-3
1. FC Nürnberg,2012/2013,6,0,2,-2
1. FC Nürnberg,2012/2013,7,0,3,-3
1. FC Nürnberg,2012/2013,8,0,0,0
1. FC Nürnberg,2012/2013,9,0,1,-1
1. FC Nürnberg,2012/2013,10,1,0,1
1. FC Nürnberg,2012/2013,11,1,2,-1
1. FC Nürnberg,2012/2013,12,1,1,0
1. FC Nürnberg,2012/2013,13,0,0,0
1. FC Nürnberg,2012/2013,14,4,2,2
1. FC Nürnberg,2012/2013,15,0,1,-1
1. FC Nürnberg,2012/2013,16,2,0,2
1. FC Nürnberg,2012/2013,17,1,1,0
1. FC Nürnberg,2012/2013,18,1,1,0
1. FC Nürnberg,2012/2013,19,0,3,-3
1. FC Nürnberg,2012/2013,20,2,1,1
1. FC Nürnberg,2012/2013,21,0,0,0
1. FC Nürnberg,2012/2013,22,2,2,0
1. FC Nürnberg,2012/2013,23,1,1,0
1. FC Nürnberg,2012/2013,24,1,1,0
1. FC Nürnberg,2012/2013,25,2,1,1
1. FC Nürnberg,2012/2013,26,3,0,3
1. FC Nürnberg,2012/2013,27,2,2,0
1. FC Nürnberg,2012/2013,28,2,1,1
1. FC Nürnberg,2012/2013,29,0,4,-4
1. FC Nürnberg,2012/2013,30,0,1,-1
1. FC Nürnberg,2012/2013,31,1,2,-1
1. FC Nürnberg,2012/2013,32,0,2,-2
1. FC Nürnberg,2012/2013,33,2,1,1
1. FC Nürnberg,2012/2013,34,3,2,1
1. FC Nürnberg,2013/2014,1,2,2,0
1. FC Nürnberg,2013/2014,2,2,2,0
1. FC Nürnberg,2013/2014,3,0,2,-2
1. FC Nürnberg,2013/2014,4,0,1,-1
1. FC Nürnberg,2013/2014,5,1,1,0
1. FC Nürnberg,2013/2014,6,1,1,0
1. FC Nürnberg,2013/2014,7,3,3,0
1. FC Nürnberg,2013/2014,8,0,5,-5
1. FC Nürnberg,2013/2014,9,1,1,0
1. FC Nürnberg,2013/2014,10,1,1,0
1. FC Nürnberg,2013/2014,11,0,3,-3
1. FC Nürnberg,2013/2014,12,1,3,-2
1. FC Nürnberg,2013/2014,13,1,1,0
1. FC Nürnberg,2013/2014,14,0,3,-3
1. FC Nürnberg,2013/2014,15,1,1,0
1. FC Nürnberg,2013/2014,16,3,3,0
1. FC Nürnberg,2013/2014,17,0,0,0
1. FC Nürnberg,2013/2014,18,4,0,4
1. FC Nürnberg,2013/2014,19,3,1,2
1. FC Nürnberg,2013/2014,20,0,2,-2
1. FC Nürnberg,2013/2014,21,1,0,1
1. FC Nürnberg,2013/2014,22,2,1,1
1. FC Nürnberg,2013/2014,23,0,3,-3
1. FC Nürnberg,2013/2014,24,0,2,-2
1. FC Nürnberg,2013/2014,25,1,2,-1
1. FC Nürnberg,2013/2014,26,2,5,-3
1. FC Nürnberg,2013/2014,27,2,0,2
1. FC Nürnberg,2013/2014,28,2,3,-1
1. FC Nürnberg,2013/2014,29,0,2,-2
1. FC Nürnberg,2013/2014,30,1,4,-3
1. FC Nürnberg,2013/2014,31,1,4,-3
1. FC Nürnberg,2013/2014,32,0,2,-2
1. FC Nürnberg,2013/2014,33,0,2,-2
1. FC Nürnberg,2013/2014,34,1,4,-3
1. FSV Mainz 05,2009/2010,1,2,2,0
1. FSV Mainz 05,2009/2010,2,1,1,0
1. FSV Mainz 05,2009/2010,3,2,1,1
1. FSV Mainz 05,2009/2010,4,0,2,-2
1. FSV Mainz 05,2009/2010,5,2,1,1
1. FSV Mainz 05,2009/2010,6,3,2,1
1. FSV Mainz 05,2009/2010,7,0,3,-3
1. FSV Mainz 05,2009/2010,8,2,1,1
1. FSV Mainz 05,2009/2010,9,0,1,-1
1. FSV Mainz 05,2009/2010,10,3,0,3
1. FSV Mainz 05,2009/2010,11,3,3,0
1. FSV Mainz 05,2009/2010,12,1,0,1
1. FSV Mainz 05,2009/2010,13,0,0,0
1. FSV Mainz 05,2009/2010,14,1,1,0
1. FSV Mainz 05,2009/2010,15,0,2,-2
1. FSV Mainz 05,2009/2010,16,1,1,0
1. FSV Mainz 05,2009/2010,17,0,1,-1
1. FSV Mainz 05,2009/2010,18,2,4,-2
1. FSV Mainz 05,2009/2010,19,1,0,1
1. FSV Mainz 05,2009/2010,20,0,3,-3
1. FSV Mainz 05,2009/2010,21,1,0,1
1. FSV Mainz 05,2009/2010,22,1,1,0
1. FSV Mainz 05,2009/2010,23,0,0,0
1. FSV Mainz 05,2009/2010,24,1,2,-1
1. FSV Mainz 05,2009/2010,25,1,0,1
1. FSV Mainz 05,2009/2010,26,1,0,1
1. FSV Mainz 05,2009/2010,27,0,1,-1
1. FSV Mainz 05,2009/2010,28,0,2,-2
1. FSV Mainz 05,2009/2010,29,0,2,-2
1. FSV Mainz 05,2009/2010,30,1,0,1
1. FSV Mainz 05,2009/2010,31,1,0,1
1. FSV Mainz 05,2009/2010,32,3,3,0
1. FSV Mainz 05,2009/2010,33,2,2,0
1. FSV Mainz 05,2009/2010,34,0,0,0
1. FSV Mainz 05,2010/2011,1,2,0,2
1. FSV Mainz 05,2010/2011,2,4,3,1
1. FSV Mainz 05,2010/2011,3,2,1,1
1. FSV Mainz 05,2010/2011,4,2,0,2
1. FSV Mainz 05,2010/2011,5,2,0,2
1. FSV Mainz 05,2010/2011,6,2,1,1
1. FSV Mainz 05,2010/2011,7,4,2,2
1. FSV Mainz 05,2010/2011,8,0,1,-1
1. FSV Mainz 05,2010/2011,9,1,0,1
1. FSV Mainz 05,2010/2011,10,0,2,-2
1. FSV Mainz 05,2010/2011,11,0,1,-1
1. FSV Mainz 05,2010/2011,12,0,1,-1
1. FSV Mainz 05,2010/2011,13,3,2,1
1. FSV Mainz 05,2010/2011,14,3,0,3
1. FSV Mainz 05,2010/2011,15,1,2,-1
1. FSV Mainz 05,2010/2011,16,0,1,-1
1. FSV Mainz 05,2010/2011,17,4,2,2
1. FSV Mainz 05,2010/2011,18,0,1,-1
1. FSV Mainz 05,2010/2011,19,0,1,-1
1. FSV Mainz 05,2010/2011,20,1,0,1
1. FSV Mainz 05,2010/2011,21,1,1,0
1. FSV Mainz 05,2010/2011,22,2,4,-2
1. FSV Mainz 05,2010/2011,23,1,3,-2
1. FSV Mainz 05,2010/2011,24,2,1,1
1. FSV Mainz 05,2010/2011,25,4,2,2
1. FSV Mainz 05,2010/2011,26,0,1,-1
1. FSV Mainz 05,2010/2011,27,1,1,0
1. FSV Mainz 05,2010/2011,28,1,1,0
1. FSV Mainz 05,2010/2011,29,0,2,-2
1. FSV Mainz 05,2010/2011,30,1,0,1
1. FSV Mainz 05,2010/2011,31,0,0,0
1. FSV Mainz 05,2010/2011,32,3,0,3
1. FSV Mainz 05,2010/2011,33,3,1,2
1. FSV Mainz 05,2010/2011,34,2,1,1
1. FSV Mainz 05,2011/2012,1,2,0,2
1. FSV Mainz 05,2011/2012,2,2,1,1
1. FSV Mainz 05,2011/2012,3,2,4,-2
1. FSV Mainz 05,2011/2012,4,1,1,0
1. FSV Mainz 05,2011/2012,5,0,4,-4
1. FSV Mainz 05,2011/2012,6,1,3,-2
1. FSV Mainz 05,2011/2012,7,1,2,-1
1. FSV Mainz 05,2011/2012,8,3,3,0
1. FSV Mainz 05,2011/2012,9,0,1,-1
1. FSV Mainz 05,2011/2012,10,0,0,0
1. FSV Mainz 05,2011/2012,11,1,3,-2
1. FSV Mainz 05,2011/2012,12,3,1,2
1. FSV Mainz 05,2011/2012,13,1,1,0
1. FSV Mainz 05,2011/2012,14,3,2,1
1. FSV Mainz 05,2011/2012,15,2,2,0
1. FSV Mainz 05,2011/2012,16,0,0,0
1. FSV Mainz 05,2011/2012,17,0,1,-1
1. FSV Mainz 05,2011/2012,18,2,3,-1
1. FSV Mainz 05,2011/2012,19,3,1,2
1. FSV Mainz 05,2011/2012,20,1,1,0
1. FSV Mainz 05,2011/2012,21,1,1,0
1. FSV Mainz 05,2011/2012,22,1,1,0
1. FSV Mainz 05,2011/2012,23,4,0,4
1. FSV Mainz 05,2011/2012,24,1,2,-1
1. FSV Mainz 05,2011/2012,25,2,1,1
1. FSV Mainz 05,2011/2012,26,1,2,-1
1. FSV Mainz 05,2011/2012,27,1,3,-2
1. FSV Mainz 05,2011/2012,28,3,0,3
1. FSV Mainz 05,2011/2012,29,1,4,-3
1. FSV Mainz 05,2011/2012,30,4,0,4
1. FSV Mainz 05,2011/2012,31,0,0,0
1. FSV Mainz 05,2011/2012,32,0,0,0
1. FSV Mainz 05,2011/2012,33,0,0,0
1. FSV Mainz 05,2011/2012,34,0,3,-3
1. FSV Mainz 05,2012/2013,1,1,1,0
1. FSV Mainz 05,2012/2013,2,0,1,-1
1. FSV Mainz 05,2012/2013,3,1,3,-2
1. FSV Mainz 05,2012/2013,4,2,0,2
1. FSV Mainz 05,2012/2013,5,0,3,-3
1. FSV Mainz 05,2012/2013,6,2,0,2
1. FSV Mainz 05,2012/2013,7,1,0,1
1. FSV Mainz 05,2012/2013,8,2,2,0
1. FSV Mainz 05,2012/2013,9,3,0,3
1. FSV Mainz 05,2012/2013,10,1,2,-1
1. FSV Mainz 05,2012/2013,11,2,1,1
1. FSV Mainz 05,2012/2013,12,0,1,-1
1. FSV Mainz 05,2012/2013,13,1,2,-1
1. FSV Mainz 05,2012/2013,14,3,1,2
1. FSV Mainz 05,2012/2013,15,2,1,1
1. FSV Mainz 05,2012/2013,16,0,2,-2
1. FSV Mainz 05,2012/2013,17,3,1,2
1. FSV Mainz 05,2012/2013,18,0,0,0
1. FSV Mainz 05,2012/2013,19,3,0,3
